Date,Workout Duration,Workout,Exercise,Exercise Base Weight (kg),Set Type,Weight (kg),Reps,RIR,Duration,Distance short (m),Distance long (km)
2026-05-11,3043,Beta (Push),Low Incline Dumbbell Press,,Standard Set,30,8,2,,,
2026-05-11,3043,Beta (Push),Low Incline Dumbbell Press,,Drop Set,30,8,0,,,
2026-05-11,3043,Beta (Push),Low Incline Dumbbell Press,,Drop,16,25,0,,,
2026-05-11,3043,Beta (Push),Seated Dumbbell Overhead Press,,Standard Set,25,6,2,,,
2026-05-11,3043,Beta (Push),Seated Dumbbell Overhead Press,,Standard Set,25,6,0,,,
2026-05-11,3043,Beta (Push),Seated Dumbbell Overhead Press,,Drop Set,25,6,0,,,
2026-05-11,3043,Beta (Push),Seated Dumbbell Overhead Press,,Drop,12,20,0,,,
2026-05-11,3043,Beta (Push),Cable Straight Bar Triceps Pushdown,,Standard Set,35,12,2,,,
2026-05-11,3043,Beta (Push),Cable Straight Bar Triceps Pushdown,,Standard Set,35,12,2,,,
2026-05-11,3043,Beta (Push),Cable Straight Bar Triceps Pushdown,,Drop Set,35,9,0,,,
2026-05-11,3043,Beta (Push),Cable Straight Bar Triceps Pushdown,,Drop,17.5,22,3,,,
2026-05-11,3043,Beta (Push),Dumbbell Fly,,Standard Set,25,7,1,,,
2026-05-11,3043,Beta (Push),Dumbbell Fly,,Standard Set,25,6,1,,,
2026-05-11,3043,Beta (Push),Dumbbell Fly,,Drop Set,20,10,2,,,
2026-05-11,3043,Beta (Push),Dumbbell Fly,,Drop,12,25,1,,,
2026-05-11,3043,Beta (Push),Standing Dumbbell Lateral Raise,,Standard Set,12,8,2,,,
2026-05-11,3043,Beta (Push),Standing Dumbbell Lateral Raise,,Standard Set,12,10,0,,,
2026-05-11,3043,Beta (Push),Standing Dumbbell Lateral Raise,,Standard Set,8,14,0,,,
2026-05-11,3043,Beta (Push),Seated Dumbbell Wrist Curl,,Standard Set,12,15,3,,,
2026-05-11,3043,Beta (Push),Seated Dumbbell Wrist Curl,,Standard Set,16,7,2,,,
2026-05-11,3043,Beta (Push),Seated Dumbbell Wrist Curl,,Standard Set,12,13,1,,,
2026-05-11,3043,Beta (Push),Push-Up,,Standard Set,,15,1,,,
2026-05-12,3017,Beta (Pull),Overhand Grip Cable Lat Pulldown,,Standard Set,50,12,2,,,
2026-05-12,3017,Beta (Pull),Overhand Grip Cable Lat Pulldown,,Drop Set,50,12,1,,,
2026-05-12,3017,Beta (Pull),Overhand Grip Cable Lat Pulldown,,Drop,25,24,0,,,
2026-05-12,3017,Beta (Pull),Single Arm Elbow-In Dumbbell Row,,Standard Set,20,8,1,,,
2026-05-12,3017,Beta (Pull),Single Arm Elbow-In Dumbbell Row,,Standard Set,20,8,0,,,
2026-05-12,3017,Beta (Pull),Single Arm Elbow-In Dumbbell Row,,Standard Set,17.5,10,0,,,
2026-05-12,3017,Beta (Pull),Dumbbell Pullover,,Standard Set,15,10,2,,,
2026-05-12,3017,Beta (Pull),Dumbbell Pullover,,Standard Set,15,9,2,,,
2026-05-12,3017,Beta (Pull),Dumbbell Pullover,,Standard Set,15,9,3,,,
2026-05-12,3017,Beta (Pull),Incline Hammer Curl,,Standard Set,12,8,0,,,
2026-05-12,3017,Beta (Pull),Incline Hammer Curl,,Standard Set,12,5,,,,
2026-05-12,3017,Beta (Pull),Incline Hammer Curl,,Standard Set,8,17,0,,,
2026-05-12,3017,Beta (Pull),Standing Dumbbell Biceps Curl,,Standard Set,20,6,1,,,
2026-05-12,3017,Beta (Pull),Standing Dumbbell Biceps Curl,,Standard Set,16,9,2,,,
2026-05-12,3017,Beta (Pull),Standing Dumbbell Biceps Curl,,Drop Set,16,8,0,,,
2026-05-12,3017,Beta (Pull),Standing Dumbbell Biceps Curl,,Drop,8,16,3,,,
2026-05-12,3017,Beta (Pull),Seated Dumbbell Wrist Curl,,Standard Set,16,12,0,,,
2026-05-12,3017,Beta (Pull),Seated Dumbbell Wrist Curl,,Standard Set,16,10,2,,,
2026-05-12,3017,Beta (Pull),Seated Dumbbell Wrist Curl,,Standard Set,16,10,0,,,
2026-05-12,3017,Beta (Pull),Standing Dumbbell Shrug,,Standard Set,35,12,1,,,
2026-05-12,3017,Beta (Pull),Standing Dumbbell Shrug,,Standard Set,35,10,1,,,
2026-05-12,3017,Beta (Pull),Standing Dumbbell Shrug,,Standard Set,35,12,1,,,
2026-05-13,2861,Beta (Legs),Goblet Squat,,Standard Set,22.5,10,3,,,
2026-05-13,2861,Beta (Legs),Goblet Squat,,Standard Set,22.5,12,2,,,
2026-05-13,2861,Beta (Legs),Goblet Squat,,Standard Set,22.5,12,2,,,
2026-05-13,2861,Beta (Legs),Dumbbell Reverse Lunge,,Standard Set,25,8,1,,,
2026-05-13,2861,Beta (Legs),Dumbbell Reverse Lunge,,Standard Set,25,6,0,,,
2026-05-13,2861,Beta (Legs),Dumbbell Reverse Lunge,,Standard Set,16,7,,,,
2026-05-13,2861,Beta (Legs),Dumbbell Forward Lunge,,Standard Set,25,8,1,,,
2026-05-13,2861,Beta (Legs),Dumbbell Forward Lunge,,Standard Set,25,6,0,,,
2026-05-13,2861,Beta (Legs),Dumbbell Forward Lunge,,Standard Set,16,7,,,,
2026-05-13,2861,Beta (Legs),Standing On Ground Single Leg Bodyweight Calf Raise,,Standard Set,,25,2,,,
2026-05-13,2861,Beta (Legs),Standing On Ground Single Leg Bodyweight Calf Raise,,Standard Set,,19,,,,
2026-05-13,2861,Beta (Legs),Standing On Ground Single Leg Bodyweight Calf Raise,,Standard Set,,20,,,,
2026-05-13,2861,Beta (Legs),Leg Extension,,Standard Set,30,8,2,,,
2026-05-13,2861,Beta (Legs),Leg Extension,,Standard Set,30,10,1,,,
2026-05-13,2861,Beta (Legs),Leg Extension,,Standard Set,30,10,,,,
2026-05-15,3218,Beta (Push),Low Incline Dumbbell Press,,Standard Set,30,10,1,,,
2026-05-15,3218,Beta (Push),Low Incline Dumbbell Press,,Standard Set,30,8,2,,,
2026-05-15,3218,Beta (Push),Low Incline Dumbbell Press,,Standard Set,30,10,1,,,
2026-05-15,3218,Beta (Push),Seated Dumbbell Overhead Press,,Standard Set,20,10,1,,,
2026-05-15,3218,Beta (Push),Seated Dumbbell Overhead Press,,Standard Set,20,8,1,,,
2026-05-15,3218,Beta (Push),Seated Dumbbell Overhead Press,,Standard Set,20,7,1,,,
2026-05-15,3218,Beta (Push),Cable Straight Bar Triceps Pushdown,,Standard Set,30,12,2,,,
2026-05-15,3218,Beta (Push),Cable Straight Bar Triceps Pushdown,,Standard Set,30,10,1,,,
2026-05-15,3218,Beta (Push),Cable Straight Bar Triceps Pushdown,,Standard Set,30,12,0,,,
2026-05-15,3218,Beta (Push),Dumbbell Fly,,Standard Set,20,10,1,,,
2026-05-15,3218,Beta (Push),Dumbbell Fly,,Standard Set,20,8,1,,,
2026-05-15,3218,Beta (Push),Dumbbell Fly,,Standard Set,20,6,0,,,
2026-05-15,3218,Beta (Push),Standing Dumbbell Lateral Raise,,Standard Set,12,10,2,,,
2026-05-15,3218,Beta (Push),Standing Dumbbell Lateral Raise,,Standard Set,12,12,2,,,
2026-05-15,3218,Beta (Push),Standing Dumbbell Lateral Raise,,Standard Set,12,8,1,,,
2026-05-15,3218,Beta (Push),Seated Dumbbell Wrist Curl,,Standard Set,12,15,2,,,
2026-05-15,3218,Beta (Push),Seated Dumbbell Wrist Curl,,Standard Set,12,15,2,,,
2026-05-15,3218,Beta (Push),Seated Dumbbell Wrist Curl,,Standard Set,12,14,1,,,
2026-05-15,3218,Beta (Push),Push-Up,,Standard Set,,20,0,,,
2026-05-16,2789,Beta (Pull),Overhand Grip Cable Lat Pulldown,,Standard Set,50,12,1,,,
2026-05-16,2789,Beta (Pull),Overhand Grip Cable Lat Pulldown,,Standard Set,50,10,0,,,
2026-05-16,2789,Beta (Pull),Overhand Grip Cable Lat Pulldown,,Standard Set,50,10,0,,,
2026-05-16,2789,Beta (Pull),Single Arm Elbow-In Dumbbell Row,,Standard Set,20,10,2,,,
2026-05-16,2789,Beta (Pull),Single Arm Elbow-In Dumbbell Row,,Standard Set,20,10,2,,,
2026-05-16,2789,Beta (Pull),Single Arm Elbow-In Dumbbell Row,,Standard Set,20,9,1,,,
2026-05-16,2789,Beta (Pull),Dumbbell Pullover,,Standard Set,17.5,8,2,,,
2026-05-16,2789,Beta (Pull),Dumbbell Pullover,,Standard Set,17.5,8,1,,,
2026-05-16,2789,Beta (Pull),Dumbbell Pullover,,Standard Set,17.5,8,0,,,
2026-05-16,2789,Beta (Pull),Incline Hammer Curl,,Standard Set,16,10,1,,,
2026-05-16,2789,Beta (Pull),Incline Hammer Curl,,Standard Set,16,8,0,,,
2026-05-16,2789,Beta (Pull),Incline Hammer Curl,,Standard Set,16,6,0,,,
2026-05-16,2789,Beta (Pull),Standing Dumbbell Biceps Curl,,Standard Set,20,7,2,,,
2026-05-16,2789,Beta (Pull),Standing Dumbbell Biceps Curl,,Standard Set,20,6,1,,,
2026-05-16,2789,Beta (Pull),Standing Dumbbell Biceps Curl,,Standard Set,16,9,0,,,
2026-05-16,2789,Beta (Pull),Seated Dumbbell Wrist Curl,,Standard Set,16,14,1,,,
2026-05-16,2789,Beta (Pull),Seated Dumbbell Wrist Curl,,Standard Set,16,12,1,,,
2026-05-16,2789,Beta (Pull),Seated Dumbbell Wrist Curl,,Standard Set,16,10,,,,
2026-05-16,2789,Beta (Pull),Standing Dumbbell Shrug,,Standard Set,40,10,1,,,
2026-05-16,2789,Beta (Pull),Standing Dumbbell Shrug,,Standard Set,40,12,1,,,
2026-05-16,2789,Beta (Pull),Standing Dumbbell Shrug,,Standard Set,40,20,,,,
2026-05-18,2760,Beta (Push),Low Incline Dumbbell Press,,Standard Set,35,12,0,,,
2026-05-18,2760,Beta (Push),Low Incline Dumbbell Press,,Standard Set,35,9,1,,,
2026-05-18,2760,Beta (Push),Low Incline Dumbbell Press,,Standard Set,35,8,0,,,
2026-05-18,2760,Beta (Push),Seated Dumbbell Overhead Press,,Standard Set,20,10,0,,,
2026-05-18,2760,Beta (Push),Seated Dumbbell Overhead Press,,Standard Set,20,7,0,,,
2026-05-18,2760,Beta (Push),Seated Dumbbell Overhead Press,,Standard Set,20,5,0,,,
2026-05-18,2760,Beta (Push),Cable Straight Bar Triceps Pushdown,,Standard Set,35,12,2,,,
2026-05-18,2760,Beta (Push),Cable Straight Bar Triceps Pushdown,,Standard Set,35,10,0,,,
2026-05-18,2760,Beta (Push),Cable Straight Bar Triceps Pushdown,,Standard Set,35,10,,,,
2026-05-18,2760,Beta (Push),Dumbbell Fly,,Standard Set,20,12,,,,
2026-05-18,2760,Beta (Push),Dumbbell Fly,,Standard Set,20,10,1,,,
2026-05-18,2760,Beta (Push),Dumbbell Fly,,Standard Set,20,8,0,,,
2026-05-18,2760,Beta (Push),Standing Dumbbell Lateral Raise,,Standard Set,12,13,1,,,
2026-05-18,2760,Beta (Push),Standing Dumbbell Lateral Raise,,Standard Set,12,10,0,,,
2026-05-18,2760,Beta (Push),Standing Dumbbell Lateral Raise,,Standard Set,12,8,0,,,
2026-05-18,2760,Beta (Push),Seated Dumbbell Wrist Curl,,Standard Set,16,15,2,,,
2026-05-18,2760,Beta (Push),Seated Dumbbell Wrist Curl,,Standard Set,16,15,,,,
2026-05-18,2760,Beta (Push),Seated Dumbbell Wrist Curl,,Standard Set,16,15,,,,
2026-05-18,2760,Beta (Push),Push-Up,,Standard Set,,20,,,,
2026-05-19,3766,Beta (Pull),Overhand Grip Cable Lat Pulldown,,Standard Set,50,12,0,,,
2026-05-19,3766,Beta (Pull),Overhand Grip Cable Lat Pulldown,,Standard Set,50,10,0,,,
2026-05-19,3766,Beta (Pull),Overhand Grip Cable Lat Pulldown,,Standard Set,50,8,1,,,
2026-05-19,3766,Beta (Pull),Single Arm Elbow-In Dumbbell Row,,Standard Set,20,8,,,,
2026-05-19,3766,Beta (Pull),Single Arm Elbow-In Dumbbell Row,,Standard Set,20,8,,,,
2026-05-19,3766,Beta (Pull),Single Arm Elbow-In Dumbbell Row,,Standard Set,20,8,,,,
2026-05-19,3766,Beta (Pull),Dumbbell Pullover,,Standard Set,17.5,10,1,,,
2026-05-19,3766,Beta (Pull),Dumbbell Pullover,,Standard Set,17.5,9,1,,,
2026-05-19,3766,Beta (Pull),Dumbbell Pullover,,Standard Set,17.5,8,,,,
2026-05-19,3766,Beta (Pull),Standing Dumbbell Biceps Curl,,Standard Set,16,10,,,,
2026-05-19,3766,Beta (Pull),Standing Dumbbell Biceps Curl,,Standard Set,16,10,,,,
2026-05-19,3766,Beta (Pull),Standing Dumbbell Biceps Curl,,Standard Set,16,5,,,,
2026-05-19,3766,Beta (Pull),Incline Hammer Curl,,Standard Set,16,4,,,,
2026-05-19,3766,Beta (Pull),Incline Hammer Curl,,Standard Set,12,13,2,,,
2026-05-19,3766,Beta (Pull),Incline Hammer Curl,,Standard Set,12,11,,,,
2026-05-19,3766,Beta (Pull),Seated Dumbbell Wrist Curl,,Standard Set,16,15,,,,
2026-05-19,3766,Beta (Pull),Seated Dumbbell Wrist Curl,,Standard Set,16,13,,,,
2026-05-19,3766,Beta (Pull),Seated Dumbbell Wrist Curl,,Standard Set,16,12,,,,
2026-05-19,3766,Beta (Pull),Standing Dumbbell Shrug,,Standard Set,35,16,,,,
2026-05-19,3766,Beta (Pull),Standing Dumbbell Shrug,,Standard Set,35,13,,,,
2026-05-19,3766,Beta (Pull),Standing Dumbbell Shrug,,Standard Set,35,8,,,,
2026-05-21,1970,Beta (Legs),Goblet Squat,,Standard Set,20,12,2,,,
2026-05-21,1970,Beta (Legs),Goblet Squat,,Standard Set,20,12,1,,,
2026-05-21,1970,Beta (Legs),Goblet Squat,,Standard Set,20,12,1,,,
2026-05-21,1970,Beta (Legs),Dumbbell Reverse Lunge,,Standard Set,25,9,1,,,
2026-05-21,1970,Beta (Legs),Dumbbell Reverse Lunge,,Standard Set,25,6,,,,
2026-05-21,1970,Beta (Legs),Dumbbell Reverse Lunge,,Standard Set,25,4,,,,
2026-05-21,1970,Beta (Legs),Dumbbell Forward Lunge,,Standard Set,25,9,,,,
2026-05-21,1970,Beta (Legs),Dumbbell Forward Lunge,,Standard Set,25,6,,,,
2026-05-21,1970,Beta (Legs),Dumbbell Forward Lunge,,Standard Set,25,4,,,,
2026-05-21,1970,Beta (Legs),Standing On Ground Single Leg Bodyweight Calf Raise,,Standard Set,,27,,,,
2026-05-21,1970,Beta (Legs),Standing On Ground Single Leg Bodyweight Calf Raise,,Standard Set,,20,,,,
2026-05-21,1970,Beta (Legs),Standing On Ground Single Leg Bodyweight Calf Raise,,Standard Set,,20,,,,
2026-05-21,1970,Beta (Legs),Leg Extension,,Standard Set,30,8,2,,,
2026-05-21,1970,Beta (Legs),Leg Extension,,Standard Set,30,8,1,,,
2026-05-21,1970,Beta (Legs),Leg Extension,,Standard Set,30,8,,,,
